DID,DateofSale,VRM,Make,Model,PostCode,Sold Price,Prep Cost,Chassis Margin,Value added Products,Finance Comission,Delivered
10024975,21/07/2021,YK66LVT,Bmw,1 Series 116D Ed Plus,ST71GA,10450,520,1189.1667,399,632.81,29/07/2021
10028897,21/07/2021,WU65GPO,Suzuki,Vitara Sz5 Rugged Ddis,SN25AA,10999,520,1068.3333,0,0,28/07/2021
10028897,22/07/2021,LY16TWN,Renault,Twingo The Color Run Special Edition,TN131PU,5495,520,1662.5,0,0,29/07/2021
13281,22/07/2021,FE65GKZ,Renault,Scenic Dynamique Nav Dci,SO182FP,7617,520,1347.5,999,290.56,30/07/2021
13281,22/07/2021,FJ63WCF,Citroen,Ds3 Dstyle Plus,RG415QR,4495,520,1325,399,0,31/07/2021
10024975,22/07/2021,KE65NUV,Mercedes,C-Class C200 D Sport,SO153DJ,13999,520,1341.6667,0,0,23/07/2021
13281,22/07/2021,BD14FZJ,Nissan,Juke Acenta Premium Dci,TR209RW,6534,520,1903.3333,0,340.98,29/07/2021
13281,22/07/2021,MD16AUR,Nissan,Qashqai Dci Tekna,SN58QU,12450,520,1384.1667,699,0,30/07/2021
10028897,22/07/2021,EO61WCN,Mercedes,C-Class C250 Cdi Blueefficiency Sport Ed125,SO153DJ,7346,520,1538.3333,0,0,27/07/2021
13281,23/07/2021,YM14FGN,Seat,Alhambra Cr Tdi Se Dsg,GL181DU,10450,520,2074.1667,0,0,31/07/2021
10028897,23/07/2021,VO12ONK,Citroen,C3 Picasso Exclusive Egs,SO315FR,4999,520,1665.8333,0,0,31/07/2021
13281,23/07/2021,RK13CVU,Mercedes,A-Class A180 Blueefficiency Se,SO153DJ,9571,520,1075.8333,0,0,29/07/2021
10028897,23/07/2021,LD64JUX,Volkswagen,Golf Match Tdi Bluemotion Technology,WD174GD,8995,520,1806.6667,0,0,29/07/2021
13281,24/07/2021,ST13PZB,Mercedes,A-Class A250 Blueefficiency Engineered By Amg,DE238AW,15499,520,1832.5,699,650.82,31/07/2021
13281,24/07/2021,HN17FPC,Ford,Focus Titanium Tdci,CF832LF,10499,520,1249.1667,0,0,28/07/2021
10028897,24/07/2021,WP64CNJ,Mitsubishi,Outlander Phev Gx 4H,N87NA,11886,520,1670.8333,999,0,28/07/2021
10024975,24/07/2021,WK16HJJ,Seat,Leon Ecotsi Fr Technology,PO11QW,9274,520,1370.8333,1600,463.27,27/07/2021
10024975,24/07/2021,WM12KXS,Ford,Focus Zetec S Tdci,SO145GP,7600,520,1550.8333,301,410.85,27/07/2021
10028897,25/07/2021,YC64VBO,Bmw,2 Series 220D M Sport,ME123RD,12999,520,1477.5,299,0,25/07/2021
10024975,25/07/2021,FT14HUK,Honda,Cr-V I-Dtec Se,PO119PY,11171,520,1485,400,0,29/07/2021
13281,25/07/2021,GD15NLO,Audi,A4 Avant Tdi S Line Start/Stop,SO302NQ,13689,520,1657.5,999,731.51,29/07/2021
10028897,26/07/2021,YR63HDD,Peugeot,308 Hdi Active Navigation Version,EX166ES,4595,520,2516.6667,199,0,30/07/2021
10028897,26/07/2021,AU13ZVY,Kia,Sportage Crdi 3 Sat Nav,PL340BH,8950,520,1444.1667,875,591.43,31/07/2021
13281,26/07/2021,RE15MBV,Audi,A5 Sportback Tdi Quattro Black Edition Plus,SP102HA,15999,520,1540.8333,0,0,31/07/2021
10028897,26/07/2021,GU14GYR,Nissan,Qashqai Dci Acenta Premium,SO197BB,8450,520,1304.1667,799,279.13,30/07/2021
13281,26/07/2021,FH64XRP,Volkswagen,Tiguan Match Tdi Bluemotion Technology 4Motion,SO452PJ,12799,520,1893.3333,999,0,31/07/2021
10028897,26/07/2021,GU14WCX,Skoda,Roomster Se Tsi Dsg,SO322NJ,7350,520,1866.6667,0,0,28/07/2021
10028897,26/07/2021,LF15AZP,Volkswagen,Golf S Tdi Bluemotion Technology,LL654SF,8321,520,1276.6667,999,374.4,30/07/2021
10024975,26/07/2021,AF15DXE,Volkswagen,Tiguan Match Tdi Bluemotion Technology 4Motion,OX394JG,11207,520,2172.5,250,0,30/07/2021
10028897,26/07/2021,BD14LBL,Nissan,Qashqai Dci Tekna,HR12JZ,9450,520,1290.8333,599,656.96,31/07/2021
13281,27/07/2021,WF17HJG,Ford,Ecosport Titanium,PO94QH,8999,520,1415.8333,0,0,30/07/2021
10028897,27/07/2021,YL15VNC,Volkswagen,Sharan Se Tdi Dsg,GU323LS,11450,520,1875,0,0,31/07/2021
10028897,28/07/2021,BG64DAU,Ford,Fiesta Zetec,SO505QP,6621,520,1300,0,0,30/07/2021
13281,28/07/2021,CP16VTC,Bmw,1 Series 116D Sport,SO163EN,10999,520,1891.6667,999,613.09,31/07/2021
13281,28/07/2021,SE66ZMZ,Jaguar,F-Pace R-Sport Awd,SO186LW,27270,520,2933.3333,1499,820.49,31/07/2021
13281,31/07/2021,RV14XFO,Nissan,Qashqai Dci Tekna,SO403LU,10129,520,1141.6667,1248,263.41,31/07/2021
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
